Occupation,Area Name,Employment,Employment percent relative standard error,Hourly mean wage,Annual mean wage,Wage percent relative standard error,Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage,Annual 25th percentile wage,Annual median wage,Annual 75th percentile wage,Annual 90th percentile wage,"Employment per 1,000 jobs",Location Quotient
Database Administrators (SOC code 15-1242),Alabama (01-00000),"1,990.00",10.00,44.68,"92,930.00",1.90,27.22,34.70,42.58,54.76,63.54,"56,610.00","72,170.00","88,560.00","113,890.00","132,170.00",0.95,2.01
Database Administrators (SOC code 15-1242),Alaska (02-00000),90.00,11.00,46.44,"96,600.00",4.30,30.86,35.88,44.80,52.22,66.90,"64,180.00","74,630.00","93,180.00","108,620.00","139,160.00",0.27,0.56
Database Administrators (SOC code 15-1242),Arizona (04-00000),"1,330.00",10.40,46.80,"97,340.00",1.90,24.64,34.75,46.31,56.91,70.30,"51,240.00","72,270.00","96,320.00","118,370.00","146,220.00",0.41,0.88
Database Administrators (SOC code 15-1242),Arkansas (05-00000),600.00,9.60,39.80,"82,780.00",4.00,18.34,23.81,38.32,48.97,69.91,"38,150.00","49,530.00","79,710.00","101,850.00","145,410.00",0.46,0.97
Database Administrators (SOC code 15-1242),California (06-00000),"8,360.00",6.00,57.24,"119,060.00",1.70,30.38,40.67,53.41,71.64,84.59,"63,190.00","84,590.00","111,090.00","149,010.00","175,950.00",0.46,0.98
Database Administrators (SOC code 15-1242),Colorado (08-00000),"1,400.00",12.60,55.75,"115,970.00",4.10,30.10,38.86,57.67,68.39,79.52,"62,610.00","80,830.00","119,940.00","142,250.00","165,390.00",0.48,1.02
Database Administrators (SOC code 15-1242),Connecticut (09-00000),770.00,5.90,49.71,"103,400.00",2.50,27.76,35.60,49.03,62.97,73.52,"57,740.00","74,040.00","101,990.00","130,970.00","152,920.00",0.46,0.96
Database Administrators (SOC code 15-1242),Delaware (10-00000),730.00,6.20,50.89,"105,850.00",2.40,30.44,38.23,48.19,62.68,77.98,"63,310.00","79,510.00","100,240.00","130,370.00","162,200.00",1.53,3.23
Database Administrators (SOC code 15-1242),District of Columbia (11-00000),550.00,16.90,57.92,"120,470.00",6.20,33.27,44.44,61.75,71.10,74.33,"69,200.00","92,440.00","128,440.00","147,890.00","154,610.00",0.77,1.63
Database Administrators (SOC code 15-1242),Florida (12-00000),"4,080.00",5.00,49.47,"102,900.00",2.20,24.70,31.39,47.07,63.52,76.37,"51,370.00","65,300.00","97,900.00","132,120.00","158,860.00",0.42,0.88
Database Administrators (SOC code 15-1242),Georgia (13-00000),"3,020.00",7.90,50.76,"105,590.00",2.80,23.43,37.00,51.01,64.37,73.31,"48,730.00","76,950.00","106,100.00","133,900.00","152,480.00",0.62,1.31
Database Administrators (SOC code 15-1242),Hawaii (15-00000),110.00,9.90,46.82,"97,380.00",3.40,27.51,36.97,44.91,60.09,64.31,"57,220.00","76,890.00","93,400.00","124,990.00","133,750.00",0.17,0.36
Database Administrators (SOC code 15-1242),Idaho (16-00000),160.00,8.60,42.52,"88,440.00",1.90,25.00,29.49,37.87,54.76,70.64,"52,000.00","61,340.00","78,780.00","113,900.00","146,920.00",0.19,0.39
Database Administrators (SOC code 15-1242),Illinois (17-00000),"2,290.00",7.20,51.80,"107,750.00",2.60,26.05,34.39,48.59,64.27,79.95,"54,190.00","71,530.00","101,070.00","133,680.00","166,300.00",0.38,0.80
Database Administrators (SOC code 15-1242),Indiana (18-00000),"1,180.00",6.00,41.10,"85,480.00",4.10,19.21,29.07,40.19,50.18,63.57,"39,970.00","60,460.00","83,600.00","104,370.00","132,220.00",0.37,0.78
Database Administrators (SOC code 15-1242),Iowa (19-00000),380.00,6.80,48.80,"101,500.00",3.10,27.34,36.09,46.96,60.57,74.08,"56,870.00","75,060.00","97,690.00","125,980.00","154,080.00",0.24,0.51
Database Administrators (SOC code 15-1242),Kansas (20-00000),560.00,18.00,56.85,"118,250.00",10.00,29.00,37.85,54.20,70.93,97.11,"60,320.00","78,720.00","112,740.00","147,530.00","201,980.00",0.39,0.83
Database Administrators (SOC code 15-1242),Kentucky (21-00000),770.00,13.90,41.58,"86,490.00",3.80,21.50,26.62,40.38,51.72,64.23,"44,710.00","55,370.00","83,980.00","107,570.00","133,590.00",0.39,0.82
Database Administrators (SOC code 15-1242),Louisiana (22-00000),240.00,16.90,42.90,"89,230.00",6.50,23.22,28.97,41.55,52.10,65.19,"48,290.00","60,250.00","86,420.00","108,360.00","135,600.00",0.13,0.27
Database Administrators (SOC code 15-1242),Maine (23-00000),230.00,9.10,39.53,"82,210.00",3.00,22.90,27.99,37.01,49.62,58.29,"47,630.00","58,220.00","76,980.00","103,220.00","121,230.00",0.37,0.78
