"Occupation","Area Name","Employment","Employment percent relative standard error","Hourly mean wage","Annual mean wage","Wage percent relative standard error","Hourly 10th percentile wage","Hourly 25th percentile wage","Hourly median wage","Hourly 75th percentile wage","Hourly 90th percentile wage","Annual 10th percentile wage","Annual 25th percentile wage","Annual median wage","Annual 75th percentile wage","Annual 90th percentile wage","Employment per 1,000 jobs","Location Quotient"
"Database Administrators","Alabama",1990,10,44.68,92930,1.9,27.22,34.7,42.58,54.76,63.54,56610,72170,88560,113890,132170,0.95,2.01
"Database Administrators","Alaska",90,11,46.44,96600,4.3,30.86,35.88,44.8,52.22,66.9,64180,74630,93180,108620,139160,0.27,0.56
"Database Administrators","Arizona",1330,10.4,46.8,97340,1.9,24.64,34.75,46.31,56.91,70.3,51240,72270,96320,118370,146220,0.41,0.88
"Database Administrators","Arkansas",600,9.6,39.8,82780,4,18.34,23.81,38.32,48.97,69.91,38150,49530,79710,101850,145410,0.46,0.97
"Database Administrators","California",8360,6,57.24,119060,1.7,30.38,40.67,53.41,71.64,84.59,63190,84590,111090,149010,175950,0.46,0.98
"Database Administrators","Colorado",1400,12.6,55.75,115970,4.1,30.1,38.86,57.67,68.39,79.52,62610,80830,119940,142250,165390,0.48,1.02
"Database Administrators","Connecticut",770,5.9,49.71,103400,2.5,27.76,35.6,49.03,62.97,73.52,57740,74040,101990,130970,152920,0.46,0.96
"Database Administrators","Delaware",730,6.2,50.89,105850,2.4,30.44,38.23,48.19,62.68,77.98,63310,79510,100240,130370,162200,1.53,3.23
"Database Administrators","District of Columbia",550,16.9,57.92,120470,6.2,33.27,44.44,61.75,71.1,74.33,69200,92440,128440,147890,154610,0.77,1.63
"Database Administrators","Florida",4080,5,49.47,102900,2.2,24.7,31.39,47.07,63.52,76.37,51370,65300,97900,132120,158860,0.42,0.88
"Database Administrators","Georgia",3020,7.9,50.76,105590,2.8,23.43,37,51.01,64.37,73.31,48730,76950,106100,133900,152480,0.62,1.31
"Database Administrators","Hawaii",110,9.9,46.82,97380,3.4,27.51,36.97,44.91,60.09,64.31,57220,76890,93400,124990,133750,0.17,0.36
"Database Administrators","Idaho",160,8.6,42.52,88440,1.9,25,29.49,37.87,54.76,70.64,52000,61340,78780,113900,146920,0.19,0.39
"Database Administrators","Illinois",2290,7.2,51.8,107750,2.6,26.05,34.39,48.59,64.27,79.95,54190,71530,101070,133680,166300,0.38,0.8
"Database Administrators","Indiana",1180,6,41.1,85480,4.1,19.21,29.07,40.19,50.18,63.57,39970,60460,83600,104370,132220,0.37,0.78
"Database Administrators","Iowa",380,6.8,48.8,101500,3.1,27.34,36.09,46.96,60.57,74.08,56870,75060,97690,125980,154080,0.24,0.51
"Database Administrators","Kansas",560,18,56.85,118250,10,29,37.85,54.2,70.93,97.11,60320,78720,112740,147530,201980,0.39,0.83
"Database Administrators","Kentucky",770,13.9,41.58,86490,3.8,21.5,26.62,40.38,51.72,64.23,44710,55370,83980,107570,133590,0.39,0.82
"Database Administrators","Louisiana",240,16.9,42.9,89230,6.5,23.22,28.97,41.55,52.1,65.19,48290,60250,86420,108360,135600,0.13,0.27
"Database Administrators","Maine",230,9.1,39.53,82210,3,22.9,27.99,37.01,49.62,58.29,47630,58220,76980,103220,121230,0.37,0.78
"Database Administrators","Maryland",2640,14.8,59.82,124430,4.5,35.63,45.69,58.71,68.7,80.67,74110,95040,122110,142890,167780,0.96,2.03
"Database Administrators","Massachusetts",1940,5.3,53.89,112090,1.8,29.38,38.89,56.45,66.37,77.81,61110,80900,117420,138040,161840,0.53,1.12
"Database Administrators","Michigan",1190,7.9,46.95,97660,4.3,24.85,32.12,47.06,59.81,72.43,51680,66800,97880,124400,150650,0.27,0.57
"Database Administrators","Minnesota",970,7.5,48.56,101010,2,28.83,34.71,46.75,62.24,71.77,59970,72190,97230,129470,149280,0.33,0.7
"Database Administrators","Mississippi",230,9.2,40.78,84830,2.4,25.54,31.19,41.55,47.47,58.82,53110,64870,86420,98740,122350,0.2,0.42
"Database Administrators","Missouri",1400,10.3,45.67,94990,3.9,23.04,30.35,42.12,59.99,71.84,47910,63130,87600,124770,149420,0.48,1.01
"Database Administrators","Montana",240,10.7,39.94,83070,1.9,30.15,35.08,38.92,42.96,48.67,62700,72960,80960,89360,101230,0.48,1.01
"Database Administrators","Nebraska",540,8.2,46.19,96080,2.6,28.39,34.68,44.46,56.88,65.12,59050,72140,92470,118320,135450,0.54,1.13
"Database Administrators","Nevada",470,23.7,42.29,87960,12.8,18.63,23.55,41.82,55.7,65.76,38740,48980,86980,115850,136780,0.31,0.64
"Database Administrators","New Hampshire",230,24.9,52.5,109190,5.4,28.15,36.79,58.57,65.2,71.69,58550,76510,121820,135610,149120,0.34,0.72
"Database Administrators","New Jersey",2060,8.2,60.9,126670,2.7,36.49,47.32,62.01,76.12,82.17,75890,98430,128970,158320,170910,0.49,1.02
"Database Administrators","New Mexico",520,7.3,45.42,94480,2.5,29.86,34.9,45.6,50.28,62.5,62100,72600,94850,104590,130010,0.61,1.28
